date,Kendrick Lamar,Drake
2025-04-29,5,17
2025-04-30,9,18
2025-05-01,5,18
2025-05-02,7,17
2025-05-03,5,22
2025-05-04,6,20
2025-05-05,5,22
2025-05-06,6,20
2025-05-07,5,21
2025-05-08,5,18
2025-05-09,6,21
2025-05-10,7,19
2025-05-11,3,18
2025-05-12,5,18
2025-05-13,4,18
2025-05-14,4,21
2025-05-15,5,18
2025-05-16,6,18
2025-05-17,6,19
2025-05-18,6,19
2025-05-19,5,18
2025-05-20,5,19
2025-05-21,5,18
2025-05-22,6,19
2025-05-23,4,19
2025-05-24,6,19
2025-05-25,6,18
2025-05-26,5,21
2025-05-27,5,21
2025-05-28,5,20
2025-05-29,5,18
2025-05-30,5,18
2025-05-31,6,19
2025-06-01,5,21
2025-06-02,5,17
2025-06-03,5,100
2025-06-04,6,97
2025-06-05,7,69
2025-06-06,6,70
2025-06-07,6,35
2025-06-08,5,33
2025-06-09,5,27
2025-06-10,7,25
2025-06-11,7,23
2025-06-12,6,25
2025-06-13,6,25
2025-06-14,8,25
2025-06-15,7,42
2025-06-16,6,28
2025-06-17,7,22
2025-06-18,7,27
2025-06-19,5,27
2025-06-20,6,25
2025-06-21,6,24
2025-06-22,6,23
2025-06-23,7,22
2025-06-24,7,25
2025-06-25,6,22
2025-06-26,7,23
2025-06-27,8,26
2025-06-28,8,24
2025-06-29,7,29
2025-06-30,7,23
2025-07-01,8,23
2025-07-02,8,24
2025-07-03,9,28
2025-07-04,15,26
2025-07-05,11,33
2025-07-06,12,31
2025-07-07,17,29
2025-07-08,32,32
2025-07-09,21,30
2025-07-10,28,31
2025-07-11,18,47
2025-07-12,13,71
2025-07-13,10,79
2025-07-14,10,66
2025-07-15,10,47
2025-07-16,11,45
2025-07-17,12,39
2025-07-18,14,43
2025-07-19,35,46
2025-07-20,18,65
2025-07-21,16,67
2025-07-22,28,55
2025-07-23,31,55
2025-07-24,13,52
2025-07-25,8,68
2025-07-26,6,70
2025-07-27,6,77
2025-07-28,5,47
2025-07-29,4,33
